Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Precision,Recall,F1
1,1.713190039192758,0.35813008130081303,1.4299719881157145,0.5276872964169381,0.6180179418855004,0.5276872964169381,0.4742415108178867
2,1.300510440221647,0.5796747967479675,1.0675244443967986,0.6775244299674267,0.6739052080518493,0.6775244299674267,0.650417021359761
3,1.0767686553117706,0.7056910569105691,1.0100865441735483,0.7296416938110749,0.734621513446207,0.7296416938110749,0.715002486211467
4,0.9914691068292634,0.751219512195122,0.9616637959930718,0.739413680781759,0.7435443857509635,0.739413680781759,0.72717573534509
5,0.8968967125667789,0.8028455284552846,0.8613035915728889,0.8338762214983714,0.8415726566018767,0.8338762214983714,0.8331871678483667
6,0.8859441289087621,0.7967479674796748,0.8610796786674847,0.7947882736156352,0.801043742231011,0.7947882736156352,0.7893326550992237
7,0.8290467900958488,0.8256097560975609,0.9140833161941181,0.7752442996742671,0.783770450727251,0.7752442996742671,0.7715241228500442
8,0.765604979623624,0.8609756097560975,0.8514179896065778,0.8175895765472313,0.8262029871551482,0.8175895765472313,0.8136785239413704
9,0.7699790526211746,0.8634146341463415,0.8952826894455702,0.8013029315960912,0.8046311416704073,0.8013029315960912,0.8017749797026751
10,0.7473048797467859,0.875609756097561,0.884882036948437,0.8208469055374593,0.8426042345455679,0.8208469055374593,0.8142166022436498
11,0.7292550042392761,0.884959349593496,0.8624485420481778,0.8208469055374593,0.8320452486919983,0.8208469055374593,0.8214576023144263
12,0.7062679428395217,0.8873983739837399,0.8757571774119275,0.7980456026058632,0.8059982427989878,0.7980456026058632,0.7991918191458428
13,0.7418024104785144,0.8764227642276423,0.8391945352383468,0.8436482084690554,0.8507620396285095,0.8436482084690554,0.8423987354339085
14,0.7124049390234598,0.8865853658536585,0.8801096027371161,0.8110749185667753,0.8112365920619554,0.8110749185667753,0.8079364244409402
15,0.685408510812899,0.9,0.931914982655926,0.7947882736156352,0.8018790707892581,0.7947882736156352,0.7915469502034724
16,0.6924800819497767,0.8979674796747967,0.8811394985801623,0.8273615635179153,0.8366990084692164,0.8273615635179153,0.8222483045960888
17,0.6752593151922148,0.9052845528455284,0.8898938991347819,0.7915309446254072,0.7906627283717035,0.7915309446254072,0.7904252133107827
18,0.6720429852726014,0.9052845528455284,0.858689850432865,0.8175895765472313,0.8193157665894231,0.8175895765472313,0.8157836031636254
19,0.671897219642391,0.9077235772357723,0.8903921683370485,0.8306188925081434,0.8368092476839718,0.8306188925081434,0.8259251552651067
20,0.6626233176487248,0.9142276422764227,0.9534398701757872,0.7882736156351792,0.8015025853843065,0.7882736156351792,0.785705806841422
21,0.6529446766628483,0.9101626016260163,0.9421163830384369,0.7882736156351792,0.7949527741766802,0.7882736156351792,0.785612385354434
22,0.6751436988512675,0.906910569105691,0.9317238416267917,0.7719869706840391,0.7849854271678376,0.7719869706840391,0.7715454815949471
23,0.675119849530662,0.9126016260162602,0.8758583841572367,0.8143322475570033,0.8275341635683655,0.8143322475570033,0.8149789335156947
